timings.Fajr,timings.Sunrise,timings.Dhuhr,timings.Asr,timings.Sunset,timings.Maghrib,timings.Isha,timings.Imsak,timings.Midnight,timings.Firstthird,timings.Lastthird,date.readable,date.timestamp,date.gregorian.date,date.gregorian.format,date.gregorian.day,date.gregorian.weekday.en,date.gregorian.month.number,date.gregorian.month.en,date.gregorian.year,date.gregorian.designation.abbreviated,date.gregorian.designation.expanded,date.hijri.date,date.hijri.format,date.hijri.day,date.hijri.weekday.en,date.hijri.weekday.ar,date.hijri.month.number,date.hijri.month.en,date.hijri.month.ar,date.hijri.year,date.hijri.designation.abbreviated,date.hijri.designation.expanded,meta.latitude,meta.longitude,meta.timezone,meta.method.id,meta.method.name,meta.method.params.Fajr,meta.method.params.Isha,meta.method.location.latitude,meta.method.location.longitude,meta.latitudeAdjustmentMethod,meta.midnightMode,meta.school,meta.offset.Imsak,meta.offset.Fajr,meta.offset.Sunrise,meta.offset.Dhuhr,meta.offset.Asr,meta.offset.Maghrib,meta.offset.Sunset,meta.offset.Isha,meta.offset.Midnight
"03:35 (MDT)","05:40 (MDT)","13:30 (MDT)","17:43 (MDT)","21:22 (MDT)","21:22 (MDT)","23:26 (MDT)","03:25 (MDT)","01:31 (MDT)","00:08 (MDT)","02:54 (MDT)","11 May 2023",1683817261,11-05-2023,DD-MM-YYYY,11,Thursday,5,May,2023,AD,"Anno Domini",20-10-1444,DD-MM-YYYY,20,"Al Khamees",الخميس,10,Shawwāl,شَوّال,1444,AH,"Anno Hegirae",53.546218,-113.490371,America/Edmonton,2,"Islamic Society of North America (ISNA)",15,15,39.7042123,-86.3994387,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0
"03:35 (MDT)","05:38 (MDT)","13:30 (MDT)","17:44 (MDT)","21:23 (MDT)","21:23 (MDT)","23:27 (MDT)","03:25 (MDT)","01:31 (MDT)","00:08 (MDT)","02:53 (MDT)","12 May 2023",1683903661,12-05-2023,DD-MM-YYYY,12,Friday,5,May,2023,AD,"Anno Domini",21-10-1444,DD-MM-YYYY,21,"Al Juma'a",الجمعة,10,Shawwāl,شَوّال,1444,AH,"Anno Hegirae",53.546218,-113.490371,America/Edmonton,2,"Islamic Society of North America (ISNA)",15,15,39.7042123,-86.3994387,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0
"03:34 (MDT)","05:37 (MDT)","13:30 (MDT)","17:44 (MDT)","21:25 (MDT)","21:25 (MDT)","23:28 (MDT)","03:24 (MDT)","01:31 (MDT)","00:09 (MDT)","02:53 (MDT)","13 May 2023",1683990061,13-05-2023,DD-MM-YYYY,13,Saturday,5,May,2023,AD,"Anno Domini",22-10-1444,DD-MM-YYYY,22,"Al Sabt",السبت,10,Shawwāl,شَوّال,1444,AH,"Anno Hegirae",53.546218,-113.490371,America/Edmonton,2,"Islamic Society of North America (ISNA)",15,15,39.7042123,-86.3994387,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0
"03:33 (MDT)","05:35 (MDT)","13:30 (MDT)","17:45 (MDT)","21:27 (MDT)","21:27 (MDT)","23:29 (MDT)","03:23 (MDT)","01:31 (MDT)","00:09 (MDT)","02:52 (MDT)","14 May 2023",1684076461,14-05-2023,DD-MM-YYYY,14,Sunday,5,May,2023,AD,"Anno Domini",23-10-1444,DD-MM-YYYY,23,"Al Ahad",الاحد,10,Shawwāl,شَوّال,1444,AH,"Anno Hegirae",53.546218,-113.490371,America/Edmonton,2,"Islamic Society of North America (ISNA)",15,15,39.7042123,-86.3994387,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0
"03:32 (MDT)","05:33 (MDT)","13:30 (MDT)","17:46 (MDT)","21:28 (MDT)","21:28 (MDT)","23:29 (MDT)","03:22 (MDT)","01:31 (MDT)","00:10 (MDT)","02:52 (MDT)","15 May 2023",1684162861,15-05-2023,DD-MM-YYYY,15,Monday,5,May,2023,AD,"Anno Domini",24-10-1444,DD-MM-YYYY,24,"Al Athnayn",الاثنين,10,Shawwāl,شَوّال,1444,AH,"Anno Hegirae",53.546218,-113.490371,America/Edmonton,2,"Islamic Society of North America (ISNA)",15,15,39.7042123,-86.3994387,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0
"03:31 (MDT)","05:32 (MDT)","13:30 (MDT)","17:46 (MDT)","21:30 (MDT)","21:30 (MDT)","23:30 (MDT)","03:21 (MDT)","01:31 (MDT)","00:10 (MDT)","02:51 (MDT)","16 May 2023",1684249261,16-05-2023,DD-MM-YYYY,16,Tuesday,5,May,2023,AD,"Anno Domini",25-10-1444,DD-MM-YYYY,25,"Al Thalaata",الثلاثاء,10,Shawwāl,شَوّال,1444,AH,"Anno Hegirae",53.546218,-113.490371,America/Edmonton,2,"Islamic Society of North America (ISNA)",15,15,39.7042123,-86.3994387,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0
"03:30 (MDT)","05:30 (MDT)","13:30 (MDT)","17:47 (MDT)","21:32 (MDT)","21:32 (MDT)","23:31 (MDT)","03:20 (MDT)","01:31 (MDT)","00:11 (MDT)","02:51 (MDT)","17 May 2023",1684335661,17-05-2023,DD-MM-YYYY,17,Wednesday,5,May,2023,AD,"Anno Domini",26-10-1444,DD-MM-YYYY,26,"Al Arba'a",الاربعاء,10,Shawwāl,شَوّال,1444,AH,"Anno Hegirae",53.546218,-113.490371,America/Edmonton,2,"Islamic Society of North America (ISNA)",15,15,39.7042123,-86.3994387,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0
"03:30 (MDT)","05:28 (MDT)","13:30 (MDT)","17:48 (MDT)","21:33 (MDT)","21:33 (MDT)","23:32 (MDT)","03:20 (MDT)","01:31 (MDT)","00:12 (MDT)","02:50 (MDT)","18 May 2023",1684422061,18-05-2023,DD-MM-YYYY,18,Thursday,5,May,2023,AD,"Anno Domini",27-10-1444,DD-MM-YYYY,27,"Al Khamees",الخميس,10,Shawwāl,شَوّال,1444,AH,"Anno Hegirae",53.546218,-113.490371,America/Edmonton,2,"Islamic Society of North America (ISNA)",15,15,39.7042123,-86.3994387,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0
"03:29 (MDT)","05:27 (MDT)","13:30 (MDT)","17:48 (MDT)","21:35 (MDT)","21:35 (MDT)","23:33 (MDT)","03:19 (MDT)","01:31 (MDT)","00:12 (MDT)","02:50 (MDT)","19 May 2023",1684508461,19-05-2023,DD-MM-YYYY,19,Friday,5,May,2023,AD,"Anno Domini",28-10-1444,DD-MM-YYYY,28,"Al Juma'a",الجمعة,10,Shawwāl,شَوّال,1444,AH,"Anno Hegirae",53.546218,-113.490371,America/Edmonton,2,"Islamic Society of North America (ISNA)",15,15,39.7042123,-86.3994387,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0
"03:28 (MDT)","05:26 (MDT)","13:31 (MDT)","17:49 (MDT)","21:36 (MDT)","21:36 (MDT)","23:34 (MDT)","03:18 (MDT)","01:31 (MDT)","00:13 (MDT)","02:49 (MDT)","20 May 2023",1684594861,20-05-2023,DD-MM-YYYY,20,Saturday,5,May,2023,AD,"Anno Domini",29-10-1444,DD-MM-YYYY,29,"Al Sabt",السبت,10,Shawwāl,شَوّال,1444,AH,"Anno Hegirae",53.546218,-113.490371,America/Edmonton,2,"Islamic Society of North America (ISNA)",15,15,39.7042123,-86.3994387,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0
